SUBJECT,OBJECT,LABEL
http://af.dbpedia.org/resource/Astrofisika,http://ar.dbpedia.org/resource/فيزياء_فلكية,k
http://af.dbpedia.org/resource/Astrofisika,http://az.dbpedia.org/resource/Astrofizika,k
http://af.dbpedia.org/resource/Astrofisika,http://be.dbpedia.org/resource/Астрафізіка,k
http://af.dbpedia.org/resource/Astrofisika,http://bg.dbpedia.org/resource/Астрофизика,k
http://af.dbpedia.org/resource/Astrofisika,http://bn.dbpedia.org/resource/জ্যোতিঃপদার্থবিজ্ঞান,k
http://af.dbpedia.org/resource/Astrofisika,http://bs.dbpedia.org/resource/Astrofizika,k
http://af.dbpedia.org/resource/Astrofisika,http://ca.dbpedia.org/resource/Astrofísica,k
http://af.dbpedia.org/resource/Astrofisika,http://ckb.dbpedia.org/resource/ستێرفیزیک,k
http://af.dbpedia.org/resource/Astrofisika,http://cs.dbpedia.org/resource/Astrofyzika,k
http://af.dbpedia.org/resource/Astrofisika,http://cv.dbpedia.org/resource/Астрофизика,k
http://af.dbpedia.org/resource/Astrofisika,http://cy.dbpedia.org/resource/Astroffiseg,k
http://af.dbpedia.org/resource/Astrofisika,http://da.dbpedia.org/resource/Astrofysik,k
http://af.dbpedia.org/resource/Astrofisika,http://dbpedia.org/resource/Astrophysics,k
http://af.dbpedia.org/resource/Astrofisika,http://de.dbpedia.org/resource/Astrophysik,k
http://af.dbpedia.org/resource/Astrofisika,http://diq.dbpedia.org/resource/Fizikê_Asmêni,k
http://af.dbpedia.org/resource/Astrofisika,http://el.dbpedia.org/resource/Αστροφυσική,k
http://af.dbpedia.org/resource/Astrofisika,http://eo.dbpedia.org/resource/Astrofiziko,k
http://af.dbpedia.org/resource/Astrofisika,http://es.dbpedia.org/resource/Astrofísica,k
http://af.dbpedia.org/resource/Astrofisika,http://et.dbpedia.org/resource/Astrofüüsika,k
http://af.dbpedia.org/resource/Astrofisika,http://eu.dbpedia.org/resource/Astrofisika,k
http://af.dbpedia.org/resource/Astrofisika,http://fa.dbpedia.org/resource/اخترفیزیک,k
http://af.dbpedia.org/resource/Astrofisika,http://fi.dbpedia.org/resource/Astrofysiikka,k
http://af.dbpedia.org/resource/Astrofisika,http://fr.dbpedia.org/resource/Astrophysique,k
http://af.dbpedia.org/resource/Astrofisika,http://gl.dbpedia.org/resource/Astrofísica,k
http://af.dbpedia.org/resource/Astrofisika,http://he.dbpedia.org/resource/אסטרופיזיקה,k
http://af.dbpedia.org/resource/Astrofisika,http://hi.dbpedia.org/resource/ताराभौतिकी,k
http://af.dbpedia.org/resource/Astrofisika,http://hr.dbpedia.org/resource/Astrofizika,k
http://af.dbpedia.org/resource/Astrofisika,http://hu.dbpedia.org/resource/Asztrofizika,k
http://af.dbpedia.org/resource/Astrofisika,http://ia.dbpedia.org/resource/Astrophysica,k
http://af.dbpedia.org/resource/Astrofisika,http://id.dbpedia.org/resource/Astrofisika,k
http://af.dbpedia.org/resource/Astrofisika,http://io.dbpedia.org/resource/Astrofiziko,k
http://af.dbpedia.org/resource/Astrofisika,http://is.dbpedia.org/resource/Stjarneðlisfræði,k
http://af.dbpedia.org/resource/Astrofisika,http://it.dbpedia.org/resource/Astrofisica,k
http://af.dbpedia.org/resource/Astrofisika,http://ja.dbpedia.org/resource/天体物理学,k
http://af.dbpedia.org/resource/Astrofisika,http://jv.dbpedia.org/resource/Astrofisika,k
http://af.dbpedia.org/resource/Astrofisika,http://ka.dbpedia.org/resource/ასტროფიზიკა,k
http://af.dbpedia.org/resource/Astrofisika,http://kn.dbpedia.org/resource/ಖಭೌತ_ಶಾಸ್ತ್ರ,k
http://af.dbpedia.org/resource/Astrofisika,http://ko.dbpedia.org/resource/천체물리학,k
http://af.dbpedia.org/resource/Astrofisika,http://ku.dbpedia.org/resource/Stêrfîzîk,k
http://af.dbpedia.org/resource/Astrofisika,http://ky.dbpedia.org/resource/Астрофизика,k
http://af.dbpedia.org/resource/Astrofisika,http://lb.dbpedia.org/resource/Astrophysik,k
http://af.dbpedia.org/resource/Astrofisika,http://lt.dbpedia.org/resource/Astrofizika,k
http://af.dbpedia.org/resource/Astrofisika,http://lv.dbpedia.org/resource/Astrofizika,k
http://af.dbpedia.org/resource/Astrofisika,http://map-bms.dbpedia.org/resource/Astrofisika,k
http://af.dbpedia.org/resource/Astrofisika,http://mk.dbpedia.org/resource/Астрофизика,k
http://af.dbpedia.org/resource/Astrofisika,http://ms.dbpedia.org/resource/Astrofizik,k
