SUBJECT,OBJECT,LABEL
http://af.dbpedia.org/resource/Jack_Johnson,http://bg.dbpedia.org/resource/Джак_Джонсън,k
http://af.dbpedia.org/resource/Jack_Johnson,http://ca.dbpedia.org/resource/Jack_Johnson,k
http://af.dbpedia.org/resource/Jack_Johnson,http://cs.dbpedia.org/resource/Jack_Johnson,k
http://af.dbpedia.org/resource/Jack_Johnson,http://da.dbpedia.org/resource/Jack_Johnson_(musiker),k
http://af.dbpedia.org/resource/Jack_Johnson,http://dbpedia.org/resource/Jack_Johnson_(musician),k
http://af.dbpedia.org/resource/Jack_Johnson,http://de.dbpedia.org/resource/Jack_Johnson_(Musiker),k
http://af.dbpedia.org/resource/Jack_Johnson,http://es.dbpedia.org/resource/Jack_Johnson,k
http://af.dbpedia.org/resource/Jack_Johnson,http://eu.dbpedia.org/resource/Jack_Johnson,k
http://af.dbpedia.org/resource/Jack_Johnson,http://fi.dbpedia.org/resource/Jack_Johnson_(muusikko),k
http://af.dbpedia.org/resource/Jack_Johnson,http://fr.dbpedia.org/resource/Jack_Johnson_(musicien),k
http://af.dbpedia.org/resource/Jack_Johnson,http://hu.dbpedia.org/resource/Jack_Johnson_(zenész),k
http://af.dbpedia.org/resource/Jack_Johnson,http://id.dbpedia.org/resource/Jack_Johnson_(musikus),k
http://af.dbpedia.org/resource/Jack_Johnson,http://it.dbpedia.org/resource/Jack_Johnson_(musicista),k
http://af.dbpedia.org/resource/Jack_Johnson,http://ja.dbpedia.org/resource/ジャック・ジョンソン_(ミュージシャン),k
http://af.dbpedia.org/resource/Jack_Johnson,http://ka.dbpedia.org/resource/ჯეკ_ჯონსონი_(მუსიკოსი),k
http://af.dbpedia.org/resource/Jack_Johnson,http://ko.dbpedia.org/resource/잭_존슨_(음악가),k
http://af.dbpedia.org/resource/Jack_Johnson,http://lt.dbpedia.org/resource/Jack_Johnson,k
http://af.dbpedia.org/resource/Jack_Johnson,http://nl.dbpedia.org/resource/Jack_Johnson_(muzikant),k
http://af.dbpedia.org/resource/Jack_Johnson,http://no.dbpedia.org/resource/Jack_Johnson_(musiker),k
http://af.dbpedia.org/resource/Jack_Johnson,http://pl.dbpedia.org/resource/Jack_Johnson_(muzyk),k
http://af.dbpedia.org/resource/Jack_Johnson,http://pt.dbpedia.org/resource/Jack_Johnson,k
http://af.dbpedia.org/resource/Jack_Johnson,http://ro.dbpedia.org/resource/Jack_Johnson,k
http://af.dbpedia.org/resource/Jack_Johnson,"http://ru.dbpedia.org/resource/Джонсон,_Джек_Хоуди",k
http://af.dbpedia.org/resource/Jack_Johnson,http://sv.dbpedia.org/resource/Jack_Johnson_(musiker),k
http://af.dbpedia.org/resource/Jack_Johnson,http://th.dbpedia.org/resource/แจ็ค_จอห์นสัน,k
http://af.dbpedia.org/resource/Jack_Johnson,http://vi.dbpedia.org/resource/Jack_Johnson_(nhạc_sĩ),k
http://af.dbpedia.org/resource/Jack_Johnson,http://www.wikidata.org/entity/Q297097,k
http://af.dbpedia.org/resource/Jack_Johnson,http://zh-yue.dbpedia.org/resource/Jack_Johnson,k
http://af.dbpedia.org/resource/Jack_Johnson,http://zh.dbpedia.org/resource/傑克·強森,k
http://bg.dbpedia.org/resource/%D0%94%D0%B6%D0%B0%D0%BA_%D0%94%D0%B6%D0%BE%D0%BD%D1%81%D1%8A%D0%BD,http://bg.dbpedia.org/resource/Джак_Джонсън,k
http://bg.dbpedia.org/resource/Джак_Джонсън,http://ca.dbpedia.org/resource/Jack_Johnson,k
http://bg.dbpedia.org/resource/Джак_Джонсън,http://cs.dbpedia.org/resource/Jack_Johnson,k
http://bg.dbpedia.org/resource/Джак_Джонсън,http://da.dbpedia.org/resource/Jack_Johnson_(musiker),k
http://bg.dbpedia.org/resource/Джак_Джонсън,http://dbpedia.org/resource/Jack_Johnson_(musician),k
http://bg.dbpedia.org/resource/Джак_Джонсън,http://de.dbpedia.org/resource/Jack_Johnson_(Musiker),k
http://bg.dbpedia.org/resource/Джак_Джонсън,http://es.dbpedia.org/resource/Jack_Johnson,k
http://bg.dbpedia.org/resource/Джак_Джонсън,http://es.dbpedia.org/resource/Jack_Johnson_(músico),k
http://bg.dbpedia.org/resource/Джак_Джонсън,http://eu.dbpedia.org/resource/Jack_Johnson,k
http://bg.dbpedia.org/resource/Джак_Джонсън,http://fi.dbpedia.org/resource/Jack_Johnson_(muusikko),k
http://bg.dbpedia.org/resource/Джак_Джонсън,http://fr.dbpedia.org/resource/Jack_Johnson_(musicien),k
http://bg.dbpedia.org/resource/Джак_Джонсън,http://hu.dbpedia.org/resource/Jack_Johnson_(zenész),k
http://bg.dbpedia.org/resource/Джак_Джонсън,http://id.dbpedia.org/resource/Jack_Johnson_(musikus),k
http://bg.dbpedia.org/resource/Джак_Джонсън,http://it.dbpedia.org/resource/Jack_Johnson_(musicista),k
http://bg.dbpedia.org/resource/Джак_Джонсън,http://ja.dbpedia.org/resource/ジャック・ジョンソン_(ミュージシャン),k
http://bg.dbpedia.org/resource/Джак_Джонсън,http://ka.dbpedia.org/resource/ჯეკ_ჯონსონი_(მუსიკოსი),k
